Project Name,Location,Start Date,Planned End Date,Actual End Date,Planned Duration (days),Actual Duration (days),Budget (INR),Actual Cost (INR),Materials Used,Average Daily Labor,Site Incidents
Project_1,Pune,27-02-2023,07-09-2023,10-11-2023,192,256,"? 2,20,00,000","? 2,17,00,000","Steel, Tiles, Cement",116,5
Project_2,Chennai,14-02-2023,10-06-2024,04-07-2024,482,506,"? 70,00,000","? 60,00,000","Cement, Steel, Wood",94,4
Project_3,Mumbai,15-10-2023,22-07-2024,21-09-2024,281,342,"? 4,60,00,000","? 4,72,00,000","Glass, Concrete, Steel",87,4
Project_4,Bangalore,04-01-2023,22-09-2023,20-11-2023,261,320,"? 3,20,00,000","? 3,20,00,000","Bricks, Steel, Wood",73,0
Project_5,Mumbai,14-07-2023,28-02-2024,14-03-2024,229,244,"? 2,70,00,000","? 2,79,00,000","Bricks, Cement, Concrete",98,0
Project_6,Hyderabad,10-02-2023,17-05-2024,24-05-2024,462,469,"? 4,50,00,000","? 4,59,00,000","Tiles, Bricks, Glass",54,5
Project_7,Mumbai,24-01-2023,25-06-2024,24-06-2024,518,517,"? 2,30,00,000","? 2,22,00,000","Tiles, Steel, Cement",78,2
Project_8,Hyderabad,06-07-2023,25-03-2024,11-04-2024,263,280,"? 2,70,00,000","? 2,66,00,000","Wood, Bricks, Cement",107,5
Project_9,Delhi,01-10-2023,01-08-2024,22-07-2024,305,295,"? 3,40,00,000","? 3,42,00,000","Bricks, Wood, Glass",58,5
Project_10,Bangalore,29-01-2023,22-11-2023,05-02-2024,297,372,"? 70,00,000","? 85,00,000","Bricks, Concrete, Tiles",38,1
Project_11,Chennai,11-06-2023,25-03-2024,17-05-2024,288,341,"? 3,60,00,000","? 3,62,00,000","Wood, Concrete, Steel",63,1
Project_12,Delhi,15-10-2023,12-01-2025,15-01-2025,455,458,"? 4,20,00,000","? 4,23,00,000","Glass, Concrete, Bricks",58,1
Project_13,Chennai,10-09-2023,23-04-2024,28-06-2024,226,292,"? 80,00,000","? 97,00,000","Cement, Steel, Wood",117,3
Project_14,Chennai,02-02-2023,14-02-2024,03-03-2024,377,395,"? 4,30,00,000","? 4,34,00,000","Glass, Bricks, Tiles",31,5
Project_15,Pune,28-02-2023,10-08-2024,01-11-2024,529,612,"? 3,90,00,000","? 4,04,00,000","Bricks, Wood, Tiles",44,2
Project_16,Hyderabad,22-03-2023,07-05-2024,07-04-2024,412,382,"? 2,10,00,000","? 2,16,00,000","Tiles, Steel, Glass",43,5
